car_id,brand,year,mileage_km,fuel_type,transmission,engine_size,condition,price
37,Hyundai,2020,116809,diesel,automatic,4.37,fair,38457.33
38,Mercedes,2024,94005,diesel,manual,4.84,good,75000.0
39,Mercedes,2017,149753,hybrid,manual,4.76,good,61222.8
40,Hyundai,2024,115291,diesel,automatic,1.14,excellent,65063.72
41,Kia,2017,51152,electric,automatic,3.85,poor,26326.12
42,Hyundai,2019,188189,hybrid,manual,3.61,excellent,48922.51
43,Mercedes,2024,262280,petrol,manual,1.07,excellent,66411.3
44,Mercedes,2019,185535,diesel,automatic,3.23,good,50884.13
45,Toyota,2005,18760,electric,manual,3.22,fair,25298.69
46,BMW,2011,114577,hybrid,automatic,3.28,excellent,48442.86
47,BMW,2017,198519,electric,manual,3.1,excellent,55819.95
48,Kia,2005,123179,hybrid,automatic,2.04,good,33986.08
49,Hyundai,2009,75993,diesel,automatic,2.05,excellent,36616.99
50,Kia,2021,260162,petrol,automatic,1.86,good,30496.45
51,Chevrolet,2009,24138,petrol,manual,1.58,fair,21869.93
52,Hyundai,2008,289843,petrol,automatic,2.0,poor,7875.45
53,Chevrolet,2014,125322,petrol,manual,2.0,good,25838.01
54,Honda,2014,151413,diesel,manual,3.76,fair,28164.45
55,Hyundai,2018,63860,petrol,manual,1.57,fair,36954.68
56,Kia,2009,8033,diesel,manual,3.8,excellent,48075.08
57,Chevrolet,2020,234263,hybrid,automatic,1.6,excellent,40594.09
58,Hyundai,2020,221013,petrol,automatic,3.18,poor,24237.16
59,Hyundai,2022,290051,petrol,automatic,2.31,poor,15956.82
60,Hyundai,2009,260376,petrol,manual,3.63,excellent,35548.89
61,Honda,2017,235885,diesel,automatic,1.22,fair,21163.89
62,BMW,2015,182167,electric,automatic,3.84,good,47730.2
63,BMW,2014,108567,hybrid,automatic,3.79,good,62942.3
64,Hyundai,2017,190408,electric,manual,3.37,fair,28419.32
65,Mercedes,2018,176958,hybrid,automatic,2.39,excellent,64768.86
66,Hyundai,2024,143978,diesel,automatic,2.96,excellent,61347.89
67,Honda,2010,79736,electric,automatic,1.55,excellent,59871.15
68,Mercedes,2017,130319,diesel,manual,1.27,excellent,60922.01
69,Honda,2007,155857,hybrid,automatic,2.03,excellent,28962.33
70,Chevrolet,2017,224130,diesel,manual,1.2,fair,18147.64
71,Chevrolet,2012,204598,electric,automatic,3.9,fair,23378.04
72,Chevrolet,2035,14448,diesel,manual,3.55,good,43381.59
73,Kia,2018,33037,diesel,manual,4.9,fair,32180.93
74,Hyundai,2017,41826,electric,manual,2.16,poor,26290.19
75,Hyundai,2023,74349,electric,automatic,2.88,good,52753.39
76,Toyota,2014,266641,electric,manual,2.03,poor,15701.96
77,Kia,2023,193307,petrol,automatic,4.61,fair,38977.76
78,Kia,2012,241894,diesel,automatic,3.05,good,33554.18
79,Hyundai,2005,248176,electric,manual,2.96,good,26304.95
80,Mercedes,1990,500000,hybrid,automatic,1.77,fair,15636.67
81,Hyundai,2020,113076,electric,automatic,2.36,poor,27267.17
82,BMW,2024,61452,diesel,manual,4.56,poor,40810.39
83,Mercedes,2009,84254,diesel,automatic,4.63,poor,33069.44
84,Mercedes,2024,60578,hybrid,automatic,2.26,good,75000.0
85,Kia,2007,55529,electric,automatic,4.91,good,37678.2
86,BMW,2021,213756,electric,automatic,1.03,excellent,75000.0
87,Hyundai,2008,26130,diesel,automatic,2.08,excellent,39158.42
88,Toyota,2019,56581,electric,manual,2.83,poor,30990.59
89,Toyota,2015,179259,petrol,automatic,4.77,good,50812.7
90,Kia,2014,249427,petrol,manual,2.28,good,28121.69
91,Mercedes,2014,108419,petrol,manual,2.87,excellent,49560.0
92,Mercedes,2016,104715,petrol,manual,3.88,poor,31813.75
93,Mercedes,2019,66687,petrol,automatic,1.91,fair,50170.33
94,Honda,2022,49128,hybrid,automatic,1.48,poor,36439.76
95,BMW,2010,150395,electric,automatic,2.65,good,50867.48
96,Kia,2006,269861,electric,automatic,1.03,poor,8866.34
97,Honda,2006,101143,hybrid,automatic,4.22,excellent,49186.99
98,Chevrolet,2006,283866,diesel,manual,3.51,poor,7149.19
99,Honda,2011,146611,petrol,manual,2.95,fair,32660.05
100,Honda,2024,167824,hybrid,manual,2.93,poor,26341.54
101,Toyota,2018,239049,diesel,automatic,2.18,poor,19402.91
102,Chevrolet,2023,15086,hybrid,manual,1.69,excellent,57871.83
103,Honda,2021,253387,petrol,manual,5.0,poor,24132.88
104,Hyundai,2012,12849,hybrid,manual,2.54,excellent,50777.55
105,Toyota,2011,56293,petrol,manual,4.57,poor,21373.2
106,Mercedes,2010,207518,hybrid,manual,4.16,poor,30033.51
107,Chevrolet,2017,299516,hybrid,manual,3.69,poor,18409.32
108,Mercedes,2005,97577,diesel,manual,2.39,good,31743.31
109,Toyota,2023,138695,hybrid,manual,4.34,fair,43707.63
110,Mercedes,2035,138706,hybrid,automatic,1.61,good,72575.67
111,Kia,2015,168862,hybrid,manual,1.93,good,31595.74
112,BMW,2005,56629,electric,manual,4.88,poor,21944.03
113,Kia,2020,25307,hybrid,manual,4.67,poor,31789.92
114,Honda,2016,183514,hybrid,automatic,3.71,good,40052.74
115,Hyundai,2016,79154,hybrid,automatic,3.57,excellent,46028.54
116,Kia,2006,61312,petrol,manual,3.29,fair,17431.32
117,Toyota,2012,64263,petrol,automatic,1.91,poor,18568.97
118,Hyundai,2016,120602,diesel,automatic,3.82,excellent,53500.46
119,Chevrolet,2024,22893,electric,manual,2.95,excellent,58936.33
120,Toyota,2011,255647,diesel,manual,4.73,poor,17907.32
121,Kia,2022,84818,hybrid,manual,4.69,fair,45560.62
122,Mercedes,2015,76435,electric,manual,2.02,excellent,75000.0
123,Chevrolet,2017,292425,diesel,manual,4.41,good,30785.84
124,Toyota,2013,117427,petrol,manual,1.81,excellent,35465.63
125,Hyundai,2017,263114,petrol,manual,2.5,fair,19978.53
126,Hyundai,2005,166966,electric,manual,1.88,fair,19976.11
127,Hyundai,2010,121560,electric,manual,1.91,excellent,34419.78
128,Mercedes,2022,100540,electric,manual,3.47,poor,44811.33
129,Hyundai,2015,42300,diesel,automatic,3.32,fair,37799.83
130,Kia,2020,155021,hybrid,manual,1.64,excellent,42627.78
131,Honda,2022,198803,petrol,automatic,2.37,excellent,45925.46
132,BMW,2017,25105,hybrid,automatic,1.66,good,75000.0
133,Kia,2014,60467,electric,manual,1.34,good,42712.5
134,Honda,2019,92192,diesel,manual,1.82,excellent,50486.41
135,Chevrolet,2011,163188,hybrid,manual,2.57,good,27649.79
136,BMW,2007,200434,hybrid,automatic,4.06,fair,34700.21
137,Toyota,2010,236552,hybrid,automatic,4.08,fair,27267.19
138,Toyota,2021,29139,hybrid,automatic,3.98,excellent,75000.0
139,Honda,2023,103977,petrol,automatic,2.33,fair,38822.6
140,Kia,2011,28229,petrol,automatic,2.86,fair,24957.71
141,BMW,2005,194401,petrol,manual,2.17,poor,20827.35
142,Hyundai,2022,84867,hybrid,manual,3.22,fair,40437.05
143,Mercedes,2017,208000,electric,automatic,2.17,excellent,67631.81
144,BMW,2020,286539,electric,automatic,2.81,fair,39490.52
145,Hyundai,2009,152415,electric,manual,2.21,poor,13990.02
146,Hyundai,2007,196579,petrol,automatic,4.49,fair,22900.48
147,Toyota,2020,65615,electric,automatic,3.31,fair,58478.06
148,Chevrolet,2021,96899,electric,automatic,1.46,fair,35277.71
149,Mercedes,2005,252894,electric,automatic,2.1,good,15270.71
150,Kia,2010,130523,electric,manual,1.95,fair,30353.79
151,Mercedes,2018,86622,electric,automatic,1.87,fair,47669.23
152,Chevrolet,2016,27487,hybrid,automatic,3.1,fair,40486.24
153,Honda,2012,76303,petrol,manual,4.92,poor,28153.51
154,Mercedes,2005,187297,petrol,automatic,4.86,good,36966.93
155,Hyundai,2015,60893,diesel,manual,3.69,good,49509.97
156,Mercedes,2022,173339,petrol,manual,4.25,excellent,71194.01
157,Honda,2005,268513,diesel,automatic,4.66,fair,20428.14
158,Chevrolet,2008,136314,hybrid,manual,3.19,fair,17070.21
159,Hyundai,2024,244990,electric,manual,1.71,poor,24612.35
160,Toyota,2020,170912,petrol,manual,4.5,fair,31096.61
161,Hyundai,2014,81539,petrol,automatic,3.94,excellent,40014.55
162,Mercedes,2019,242062,electric,manual,2.29,poor,25242.52
163,Chevrolet,2007,67400,hybrid,automatic,3.47,excellent,47766.54
164,Honda,2007,260118,diesel,automatic,3.39,poor,14907.61
165,Hyundai,2022,84714,diesel,automatic,2.41,fair,38734.38
166,Honda,2019,172232,diesel,manual,4.94,poor,20531.86
167,BMW,2016,91085,petrol,manual,3.47,poor,27286.46
168,BMW,2017,106686,hybrid,automatic,1.76,excellent,75000.0
169,Honda,2017,180066,hybrid,automatic,1.66,good,50285.86
170,Honda,2020,500000,petrol,automatic,2.26,poor,22008.25
171,Kia,2021,208464,petrol,manual,3.56,excellent,43846.41
172,Mercedes,2007,176877,electric,manual,3.77,fair,23319.19
173,Mercedes,2024,173746,hybrid,automatic,2.17,excellent,75000.0
174,BMW,2015,31427,diesel,automatic,4.72,excellent,67350.32
175,Toyota,2013,247826,hybrid,manual,3.44,poor,23069.0
176,Honda,2017,196268,petrol,manual,2.76,poor,17911.87
177,Hyundai,2023,22106,hybrid,manual,4.04,excellent,65320.17
178,Honda,2006,194312,hybrid,manual,4.17,excellent,41664.99
179,BMW,2008,50643,petrol,manual,4.19,poor,27517.23
180,BMW,2007,157552,petrol,manual,3.19,fair,33926.68
181,BMW,2006,76942,petrol,manual,4.2,fair,30948.57
182,Honda,2024,178773,diesel,manual,4.86,fair,44909.92
183,Chevrolet,2011,262089,hybrid,manual,3.87,good,21556.06
184,Honda,2011,72321,electric,automatic,4.23,excellent,71149.57
185,BMW,2020,114161,electric,automatic,4.61,fair,65588.87
186,Toyota,2021,115816,petrol,automatic,4.48,excellent,68504.31
187,Kia,2018,56113,diesel,manual,1.83,fair,26671.91
188,Honda,2020,137644,petrol,manual,4.47,excellent,66728.84
189,Chevrolet,2006,133264,hybrid,automatic,1.2,poor,15482.73
190,Honda,2009,238627,electric,automatic,1.08,poor,9866.58
191,Honda,2016,162811,hybrid,manual,3.55,poor,24546.59
192,Toyota,2013,201923,petrol,manual,1.93,excellent,40553.22
193,Kia,2006,158186,electric,automatic,3.35,good,32388.72
194,Toyota,2006,250068,diesel,automatic,1.75,fair,13396.37
195,BMW,2016,152874,diesel,automatic,4.17,fair,48920.66
196,Toyota,2015,80322,petrol,automatic,3.73,poor,28729.66
197,BMW,2013,282583,electric,automatic,1.95,fair,37230.04
198,Hyundai,2017,268640,hybrid,automatic,2.63,good,26990.72
199,Chevrolet,2017,186361,petrol,manual,3.86,good,34410.77
200,Mercedes,2020,9763,petrol,automatic,4.16,fair,54206.33
201,Hyundai,2024,114029,petrol,automatic,4.46,fair,35474.87
202,Mercedes,2020,234275,petrol,automatic,3.77,poor,29905.66
203,Kia,2015,58195,diesel,manual,3.67,excellent,56227.16
204,Kia,2014,213294,petrol,manual,4.69,good,26017.09
205,BMW,2006,119363,electric,manual,4.25,fair,38218.97
206,Kia,2010,184026,electric,manual,4.57,poor,18946.2
207,Hyundai,2012,210369,diesel,automatic,1.24,good,26706.02
208,Kia,2010,178401,electric,automatic,4.02,excellent,48550.41
209,BMW,2014,55223,hybrid,automatic,2.24,poor,31910.86
210,BMW,2021,142527,petrol,automatic,1.33,good,67859.85
211,Hyundai,2006,86217,hybrid,manual,3.39,fair,20505.21
212,Kia,2024,162782,hybrid,manual,2.83,excellent,46493.0
213,Chevrolet,2005,15775,diesel,manual,2.4,fair,23125.49
214,Chevrolet,2012,150866,diesel,manual,3.63,good,27570.85
215,Chevrolet,2019,147268,hybrid,manual,1.55,poor,19494.65
216,Hyundai,2024,22625,electric,automatic,2.02,fair,42713.09
217,BMW,2012,136541,petrol,automatic,3.78,good,49661.23
218,BMW,2018,243521,petrol,manual,4.38,fair,29590.52
219,Toyota,2019,280476,petrol,automatic,4.68,fair,29545.07
220,BMW,2023,244098,hybrid,automatic,2.09,fair,47171.0
221,Mercedes,2006,86278,diesel,automatic,4.84,good,55548.84
222,BMW,2012,98309,petrol,automatic,4.55,good,55136.45
223,Honda,2024,228409,diesel,manual,3.55,good,44121.22
224,Chevrolet,2019,45508,diesel,automatic,4.91,poor,24302.97
225,Kia,2008,255915,petrol,automatic,4.95,excellent,20144.46
226,Kia,2020,201875,hybrid,manual,1.95,fair,34194.85
227,Mercedes,2007,38451,diesel,automatic,3.01,poor,24361.1
228,Toyota,2009,190256,hybrid,manual,4.06,good,43320.97
229,Mercedes,2010,19517,hybrid,automatic,4.11,good,70738.25
230,Honda,2006,89509,electric,manual,2.26,fair,28508.1
231,BMW,2005,147395,petrol,automatic,2.26,poor,13777.98
232,Hyundai,2020,230411,hybrid,manual,4.92,excellent,48438.06
233,Mercedes,2023,227047,electric,manual,3.08,poor,36541.88
234,Mercedes,2022,221930,hybrid,manual,4.44,excellent,63537.84
235,Hyundai,2007,269676,hybrid,automatic,2.67,fair,17676.44
236,Toyota,2007,268120,electric,automatic,2.27,fair,12775.13
237,Chevrolet,2008,293228,electric,automatic,2.35,fair,19353.94
238,Kia,2011,79191,electric,automatic,3.82,fair,25581.29
239,Mercedes,2014,48239,petrol,automatic,4.93,excellent,75000.0
240,BMW,2005,272185,diesel,automatic,2.41,excellent,19327.15
241,Honda,2024,203679,petrol,manual,3.15,fair,38748.14
242,Honda,2021,146699,electric,manual,4.24,excellent,71214.03
243,Toyota,2008,284063,hybrid,automatic,2.83,good,21498.01
244,Toyota,2024,102784,petrol,manual,3.5,poor,32887.31
245,Chevrolet,2024,0,diesel,automatic,1.86,fair,38124.34
246,Toyota,2022,177290,electric,automatic,1.18,excellent,75000.0
247,Hyundai,2009,197385,petrol,manual,2.63,poor,14264.85
248,Hyundai,2018,107727,diesel,manual,4.8,fair,29176.37
249,Toyota,2013,240830,electric,manual,1.32,fair,25707.93
250,Chevrolet,2005,94012,diesel,manual,2.15,fair,13754.93
251,Toyota,2023,67321,diesel,manual,3.14,poor,27827.03
252,Hyundai,2012,212924,electric,manual,2.02,poor,14230.61
253,Kia,2015,185124,petrol,manual,2.13,good,34613.51
254,Chevrolet,2020,109443,hybrid,automatic,1.33,poor,19790.08
255,BMW,2021,208725,electric,automatic,2.61,good,51404.18
256,Mercedes,2007,110270,hybrid,automatic,2.26,good,33169.06
257,Hyundai,2013,20533,petrol,automatic,3.61,poor,22779.14
258,Chevrolet,2006,260065,petrol,manual,1.9,fair,9720.69
259,Kia,2009,190799,diesel,manual,2.63,excellent,23022.72
260,Honda,2019,82511,diesel,automatic,1.85,good,43518.8
261,BMW,2020,258047,electric,manual,3.67,poor,25933.26
262,Toyota,2009,249815,hybrid,automatic,1.36,poor,17047.58
263,Hyundai,2024,261850,electric,manual,3.56,excellent,59855.45
264,Mercedes,2010,294146,diesel,manual,3.13,excellent,28963.65
265,Kia,2009,166992,electric,automatic,1.34,poor,15816.2
266,Kia,2016,153861,hybrid,automatic,2.79,good,33127.41
267,Hyundai,2020,183919,diesel,manual,3.82,excellent,40962.87
268,Kia,2019,125780,petrol,manual,4.53,good,40796.56
269,Honda,2006,193538,diesel,manual,3.73,good,22284.43
270,Toyota,2007,142927,petrol,manual,4.35,excellent,45396.45
271,Honda,2012,178585,hybrid,manual,3.25,good,30947.34
272,Toyota,2019,79010,diesel,automatic,2.04,poor,31839.11
273,Hyundai,2019,174102,diesel,manual,2.0,good,32268.39
274,Mercedes,2024,215786,electric,automatic,1.3,excellent,72457.78
275,Mercedes,2030,276038,hybrid,automatic,4.35,poor,31186.69
276,Hyundai,2016,31135,petrol,automatic,3.82,excellent,64616.82
277,Hyundai,2020,53633,hybrid,automatic,1.76,poor,27353.78
278,BMW,2018,28433,diesel,automatic,4.66,excellent,75000.0
279,Toyota,2017,112879,petrol,manual,3.3,good,54788.04
280,BMW,2015,17061,diesel,automatic,3.61,good,66153.73
281,Mercedes,2011,183237,diesel,automatic,1.15,poor,16657.94
282,Kia,2023,208522,electric,manual,2.44,poor,25083.55
283,Kia,2019,5852,petrol,automatic,3.68,excellent,52779.02
284,Mercedes,2018,297608,petrol,manual,4.07,fair,42119.7
285,BMW,2024,31521,petrol,automatic,1.32,poor,41696.22
286,Hyundai,2018,189627,electric,automatic,3.95,excellent,52769.55
287,Hyundai,2012,147676,petrol,manual,3.09,excellent,35401.22
288,Hyundai,2012,60708,electric,automatic,3.67,fair,42427.4
289,Honda,2030,169139,petrol,manual,4.81,excellent,61036.87
290,Hyundai,2015,47824,electric,manual,4.97,poor,26026.32
291,Honda,2006,239016,electric,automatic,2.88,excellent,18376.57
292,Honda,2021,245054,diesel,automatic,1.65,good,41934.28
293,Chevrolet,2020,223376,hybrid,manual,3.04,excellent,42430.55
294,Toyota,2023,264040,electric,automatic,1.27,poor,22667.7
295,Chevrolet,2018,288512,electric,automatic,1.22,good,24508.19
296,Toyota,2016,224692,petrol,automatic,3.66,poor,16890.58
297,Mercedes,2016,57417,electric,manual,3.96,good,75000.0
298,BMW,2021,80539,diesel,automatic,2.0,good,72760.39
299,Mercedes,2010,276125,diesel,manual,3.8,poor,17372.79
300,Kia,2005,129573,diesel,manual,3.18,poor,10217.08
301,Toyota,2015,248640,diesel,automatic,1.93,fair,23038.81
302,Chevrolet,2010,213557,petrol,manual,4.28,excellent,28330.97
303,BMW,2014,211519,electric,automatic,3.94,fair,49247.85
304,Chevrolet,2017,291193,diesel,automatic,2.47,poor,16509.09
305,Chevrolet,2015,51038,diesel,automatic,2.82,good,33774.16
306,Honda,2022,286128,diesel,automatic,1.4,fair,22338.27
307,Kia,2008,279825,electric,automatic,4.57,excellent,28341.12
308,Chevrolet,2017,55251,petrol,automatic,2.22,poor,24866.88
309,Honda,2007,66431,electric,automatic,4.0,good,50614.07
310,Honda,2023,51322,petrol,automatic,3.64,fair,47723.71
311,Kia,2014,196103,hybrid,manual,2.36,fair,25756.42
312,BMW,2015,229918,diesel,automatic,2.27,good,40488.89
313,Kia,2005,149133,petrol,manual,3.0,poor,11109.03
314,Chevrolet,2017,101975,electric,automatic,2.53,fair,35091.19
315,Honda,2010,290902,diesel,automatic,3.16,excellent,33395.26
316,Chevrolet,2005,170499,hybrid,automatic,1.32,excellent,31415.48
317,BMW,2035,258717,diesel,automatic,4.45,good,63515.14
318,Chevrolet,2007,258016,hybrid,manual,3.92,good,22543.74
319,Toyota,2022,103555,diesel,automatic,2.56,poor,35198.69
320,Mercedes,2022,18855,petrol,automatic,4.68,poor,51666.2
321,Chevrolet,2022,77423,hybrid,automatic,1.63,fair,34399.23
322,Kia,2009,253448,hybrid,automatic,4.15,fair,14520.39
323,Kia,2012,232269,hybrid,automatic,3.68,poor,19502.99
324,Mercedes,2022,600000,hybrid,manual,4.63,fair,38220.8
325,Kia,2018,266739,electric,automatic,2.98,poor,20092.75
326,Hyundai,2024,120770,hybrid,manual,3.76,good,58494.28
327,Chevrolet,2022,230348,hybrid,manual,1.17,excellent,40143.72
328,Hyundai,2018,270809,petrol,manual,3.77,fair,24256.47
329,Mercedes,2023,159953,diesel,automatic,4.44,good,67339.54
330,Hyundai,2024,192260,diesel,automatic,2.13,excellent,54352.17
331,Honda,2012,251282,diesel,automatic,1.88,fair,16339.26
332,Hyundai,2023,141103,diesel,manual,3.49,poor,25904.7
333,Toyota,2008,283242,hybrid,automatic,2.86,excellent,17840.36
334,Mercedes,2014,34498,electric,automatic,1.31,excellent,75000.0
335,Honda,2005,125470,diesel,automatic,4.4,good,27090.08
336,BMW,2022,193584,petrol,manual,2.52,fair,37245.63
337,Honda,2005,99967,hybrid,manual,4.37,good,42440.51
338,Honda,2020,30904,petrol,manual,2.32,poor,31311.78
339,Toyota,2021,100781,diesel,automatic,3.26,poor,31022.74
340,BMW,2009,253370,hybrid,manual,4.31,good,35365.31
341,Toyota,2024,179022,electric,manual,2.96,poor,27156.07
342,BMW,2013,83107,electric,automatic,3.05,fair,43972.23
343,Kia,2005,22394,petrol,automatic,1.79,poor,14946.24
344,Toyota,2019,139217,electric,manual,3.42,poor,31179.4
345,Toyota,2014,54041,hybrid,manual,4.89,excellent,73882.24
346,Hyundai,2018,207987,petrol,automatic,3.61,poor,23031.79
347,Chevrolet,2007,39012,diesel,automatic,3.24,good,28703.19
348,BMW,2021,299979,petrol,manual,1.98,fair,31387.46
349,Mercedes,2006,124044,electric,manual,2.49,poor,28314.53
350,Kia,2016,238569,petrol,automatic,1.38,good,28004.66
351,Toyota,2018,130322,hybrid,manual,3.39,good,51423.31
352,Honda,2015,22350,electric,manual,1.27,fair,41761.61
353,Toyota,2009,148317,hybrid,automatic,2.91,excellent,45174.13
354,Chevrolet,2023,12630,diesel,automatic,3.07,fair,36282.78
355,Toyota,2017,53337,hybrid,automatic,1.46,poor,33246.85
356,Honda,2009,42046,petrol,manual,4.86,good,48314.36
357,Honda,2011,152106,petrol,automatic,2.83,fair,20243.91
358,BMW,2008,87877,petrol,automatic,2.58,poor,28486.04
359,Chevrolet,2012,196975,diesel,manual,2.0,good,22716.91
360,BMW,2016,278910,petrol,manual,2.3,fair,29178.44
361,BMW,2009,67181,hybrid,manual,4.91,poor,30104.44
362,Hyundai,2015,194767,diesel,manual,3.08,excellent,38323.04
363,Mercedes,2024,210732,electric,manual,3.15,excellent,75000.0
364,Toyota,2016,73766,diesel,manual,1.17,good,51699.94
365,Honda,2008,288205,petrol,automatic,2.05,good,19283.79
366,Honda,2013,108218,electric,automatic,1.34,poor,19550.04
367,Hyundai,2013,194145,hybrid,automatic,4.63,fair,23362.36
368,Kia,2017,98093,hybrid,manual,4.08,good,50385.48
369,BMW,2022,232224,electric,automatic,2.71,poor,38397.67
370,Kia,2018,247282,diesel,automatic,1.87,good,25892.14
371,BMW,2015,222734,petrol,automatic,3.65,poor,24563.23
372,BMW,2017,164213,petrol,manual,2.2,fair,34738.88
373,Kia,2015,8375,petrol,automatic,2.95,fair,36596.66
374,Hyundai,2005,295994,diesel,automatic,1.48,good,6224.82
375,Hyundai,2009,166812,petrol,manual,1.5,good,21994.21
376,Kia,2021,29320,hybrid,automatic,4.22,good,53036.71
377,Mercedes,2020,66466,diesel,manual,1.33,fair,50229.04
378,Honda,2005,15553,electric,automatic,3.55,poor,27842.51
379,BMW,2018,77469,diesel,automatic,4.4,fair,50647.73
380,Honda,2009,99728,hybrid,automatic,1.46,fair,20923.33
381,Chevrolet,2022,277832,hybrid,manual,1.95,excellent,30241.48
382,Honda,2013,267885,hybrid,manual,4.01,fair,20832.97
383,Hyundai,2007,54549,diesel,manual,3.13,excellent,38116.74
384,Honda,2016,122993,hybrid,automatic,4.16,good,48043.04
385,Chevrolet,2009,32107,petrol,automatic,2.45,fair,19945.76
386,Honda,2009,209346,diesel,manual,1.31,fair,14609.14
387,Honda,2006,132021,electric,manual,1.82,excellent,35149.12
388,Toyota,2019,206829,hybrid,manual,2.87,good,41670.43
389,BMW,2035,53549,hybrid,automatic,4.18,poor,49815.58
390,Mercedes,2021,99876,hybrid,automatic,2.28,good,75000.0
391,Mercedes,2011,121902,electric,manual,3.92,poor,37454.83
392,Kia,2018,189768,petrol,automatic,3.35,fair,33006.63
393,BMW,2006,188484,petrol,manual,2.18,fair,18379.67
394,Honda,2022,288738,hybrid,automatic,4.96,fair,39384.02
395,Chevrolet,2023,249814,hybrid,automatic,4.2,good,33336.57
396,Chevrolet,2019,275322,electric,automatic,3.99,poor,21653.92
397,BMW,2013,6695,hybrid,automatic,2.9,fair,45101.21
398,Mercedes,2006,23926,hybrid,automatic,1.96,poor,31702.68
399,Mercedes,2018,29264,electric,automatic,2.77,good,68511.41
400,Toyota,2006,7894,petrol,automatic,1.77,excellent,35881.63
401,Kia,2011,242958,diesel,manual,2.13,excellent,32498.54
402,Hyundai,2022,42622,diesel,automatic,1.45,good,55449.26
403,Mercedes,2015,139312,petrol,automatic,2.86,fair,33551.67
404,BMW,2023,116395,petrol,automatic,4.21,good,65839.76
405,Mercedes,2010,140806,electric,manual,2.52,excellent,72127.86
406,Toyota,2024,48189,electric,automatic,3.16,fair,58738.35
407,Chevrolet,2009,41994,hybrid,automatic,4.22,excellent,39167.67
408,Toyota,2022,139023,diesel,manual,3.66,good,47172.43
409,Honda,2005,240649,hybrid,automatic,3.2,poor,8793.08
410,BMW,2005,271353,electric,automatic,2.56,fair,11632.68
411,BMW,2020,164279,hybrid,automatic,2.05,fair,55717.37
412,Kia,2010,248278,electric,manual,2.67,poor,9093.38
413,BMW,2018,85161,hybrid,automatic,2.71,excellent,65539.04
414,Hyundai,2018,9047,hybrid,automatic,2.76,good,46814.92
415,Mercedes,2020,169564,hybrid,manual,2.03,good,68241.39
416,Chevrolet,2023,184207,hybrid,automatic,2.02,fair,31964.27
417,Mercedes,2013,8440,hybrid,manual,2.17,excellent,75000.0
418,Honda,2015,42528,diesel,automatic,1.55,poor,25301.03
419,BMW,2011,226191,petrol,manual,4.14,fair,29758.25
420,Kia,2014,127644,electric,manual,1.34,fair,27514.58
421,BMW,2014,237983,petrol,automatic,1.8,good,48090.54
422,Chevrolet,2014,298686,diesel,automatic,3.23,fair,15109.3
423,Honda,2010,56107,diesel,manual,3.3,fair,31554.85
424,Toyota,2010,183355,hybrid,manual,3.44,fair,20326.09
425,BMW,2010,194748,hybrid,automatic,1.77,excellent,43100.97
426,Hyundai,2014,252400,diesel,manual,4.59,poor,18045.83
