car_id,brand,year,mileage_km,fuel_type,transmission,engine_size,condition,price,sale_date,sale_year,sale_month,sale_day,sale_dayofweek,sale_quarter
48,Kia,2005,123179,hybrid,automatic,2.04,good,33986.08,2020-12-11 11:01:37.297297,2020,12,11,4,4
49,Hyundai,2009,75993,diesel,automatic,2.05,excellent,36616.99,2024-10-15 05:32:58.378378,2024,10,15,1,4
50,Kia,2021,260162,petrol,automatic,1.86,good,30496.45,2023-06-07 21:21:26.486486,2023,6,7,2,2
51,Chevrolet,2009,24138,petrol,manual,1.58,fair,21869.93,2024-10-15 05:32:58.378378,2024,10,15,1,4
52,Hyundai,2008,289843,petrol,automatic,2.0,poor,7875.45,2022-10-24 05:44:30.270270,2022,10,24,0,4
53,Chevrolet,2014,125322,petrol,manual,2.0,good,25838.01,2024-05-18 08:23:03.783783,2024,5,18,5,2
54,Honda,2014,151413,diesel,manual,3.76,fair,28164.45,2022-10-31 13:12:47.567567,2022,10,31,0,4
55,Hyundai,2018,63860,petrol,manual,1.57,fair,36954.68,2021-03-20 03:53:30.810810,2021,3,20,5,1
56,Kia,2009,8033,diesel,manual,3.8,excellent,48075.08,2024-02-27 22:11:53.513513,2024,2,27,1,1
57,Chevrolet,2020,234263,hybrid,automatic,1.6,excellent,40594.09,2022-07-10 05:24:19.459459,2022,7,10,6,3
58,Hyundai,2020,221013,petrol,automatic,3.18,poor,24237.16,2020-08-25 14:49:22.162162,2020,8,25,1,3
59,Hyundai,2022,290051,petrol,automatic,2.31,poor,15956.82,2022-06-03 16:02:52.972972,2022,6,3,4,2
60,Hyundai,2009,260376,petrol,manual,3.63,excellent,35548.89,2024-02-04 03:54:57.297297,2024,2,4,6,1
61,Honda,2017,235885,diesel,automatic,1.22,fair,21163.89,2023-03-26 18:38:33.513513,2023,3,26,6,1
62,Bmw,2015,182167,electric,automatic,3.84,good,47730.2,2020-02-06 13:21:26.486486,2020,2,6,3,1
63,Bmw,2014,108567,hybrid,automatic,3.79,good,62942.3,2024-03-15 09:00:32.432432,2024,3,15,4,1
64,Hyundai,2017,190408,electric,manual,3.37,fair,28419.32,2020-10-30 10:03:57.837837,2020,10,30,4,4
65,Mercedes,2018,176958,hybrid,automatic,2.39,excellent,64768.86,2021-05-13 23:55:40.540540,2021,5,13,3,2
66,Hyundai,2024,143978,diesel,automatic,2.96,excellent,61347.89,2021-12-08 08:51:53.513513,2021,12,8,2,4
67,Honda,2010,79736,electric,automatic,1.55,excellent,59871.15,2023-01-01 16:43:14.594594,2023,1,1,6,1
68,Mercedes,2017,130319,diesel,manual,1.27,excellent,60922.01,2021-07-29 18:22:42.162162,2021,7,29,3,3
69,Honda,2007,155857,hybrid,automatic,2.03,excellent,28962.33,2020-01-24 18:16:56.216216,2020,1,24,4,1
70,Chevrolet,2017,224130,diesel,manual,1.2,fair,18147.64,2021-03-16 12:09:22.162162,2021,3,16,1,1
71,Chevrolet,2012,204598,electric,automatic,3.9,fair,23378.04,2023-11-19 09:27:55.675675,2023,11,19,6,4
72,Chevrolet,2015,14448,diesel,manual,3.55,good,43381.59,2021-09-22 14:24:51.891891,2021,9,22,2,3
73,Kia,2018,33037,diesel,manual,4.9,fair,32180.93,2022-10-27 21:28:38.918918,2022,10,27,3,4
74,Hyundai,2017,41826,electric,manual,2.16,poor,26290.19,2024-06-27 13:28:38.918918,2024,6,27,3,2
75,Hyundai,2023,74349,electric,automatic,2.88,good,52753.39,2021-09-11 15:12:25.945945,2021,9,11,5,3
76,Toyota,2014,266641,electric,manual,2.03,poor,15701.96,2020-06-15 07:58:33.513513,2020,6,15,0,2
77,Kia,2023,193307,petrol,automatic,4.61,fair,38977.76,2021-10-30 23:38:22.702702,2021,10,30,5,4
78,Kia,2012,241894,diesel,automatic,3.05,good,33554.18,2024-10-11 13:48:49.729729,2024,10,11,4,4
79,Hyundai,2005,248176,electric,manual,2.96,good,26304.95,2022-04-09 20:00:43.243243,2022,4,9,5,2
80,Mercedes,1990,500000,hybrid,automatic,1.77,fair,15636.67,2022-02-19 11:34:46.486486,2022,2,19,5,1
81,Hyundai,2020,113076,electric,automatic,2.36,poor,27267.17,2022-07-17 12:52:36.756756,2022,7,17,6,3
82,Bmw,2024,61452,diesel,manual,4.56,poor,40810.39,2023-11-17 13:35:51.351351,2023,11,17,4,4
83,Mercedes,2009,84254,diesel,automatic,4.63,poor,33069.44,2024-09-17 19:31:53.513513,2024,9,17,1,3
84,Mercedes,2024,60578,hybrid,automatic,2.26,good,75000.0,2020-03-03 03:30:27.027027,2020,3,3,1,1
85,Kia,2007,55529,electric,automatic,4.91,good,37678.2,2021-01-09 16:54:46.486486,2021,1,9,5,1
86,Bmw,2021,213756,electric,automatic,1.03,excellent,75000.0,2020-05-26 05:25:45.945945,2020,5,26,1,2
87,Hyundai,2008,26130,diesel,automatic,2.08,excellent,39158.42,2024-08-28 16:59:05.945945,2024,8,28,2,3
88,Toyota,2019,56581,electric,manual,2.83,poor,30990.59,2022-10-22 09:52:25.945945,2022,10,22,5,4
89,Toyota,2015,179259,petrol,automatic,4.77,good,50812.7,2024-05-11 00:54:46.486486,2024,5,11,5,2
90,Kia,2014,249427,petrol,manual,2.28,good,28121.69,2021-12-08 08:51:53.513513,2021,12,8,2,4
91,Mercedes,2014,108419,petrol,manual,2.87,excellent,49560.0,2020-01-02 19:52:04.324324,2020,1,2,3,1
92,Mercedes,2016,104715,petrol,manual,3.88,poor,31813.75,2021-12-12 00:36:02.162162,2021,12,12,6,4
93,Mercedes,2019,66687,petrol,automatic,1.91,fair,50170.33,2022-10-29 17:20:43.243243,2022,10,29,5,4
94,Honda,2022,49128,hybrid,automatic,1.48,poor,36439.76,2020-07-10 22:07:34.054054,2020,7,10,4,3
95,Bmw,2010,150395,electric,automatic,2.65,good,50867.48,2023-11-10 06:07:34.054054,2023,11,10,4,4
96,Kia,2006,269861,electric,automatic,1.03,poor,8866.34,2024-02-09 15:31:10.270270,2024,2,9,4,1
97,Honda,2006,101143,hybrid,automatic,4.22,excellent,49186.99,2022-05-20 01:06:18.378378,2022,5,20,4,2
98,Chevrolet,2006,283866,diesel,manual,3.51,poor,7149.19,2023-07-07 03:14:35.675675,2023,7,7,4,3
99,Honda,2011,146611,petrol,manual,2.95,fair,32660.05,2022-01-02 23:00:54.054054,2022,1,2,6,1
100,Honda,2024,167824,hybrid,manual,2.93,poor,26341.54,2023-08-25 11:40:32.432432,2023,8,25,4,3
101,Toyota,2018,239049,diesel,automatic,2.18,poor,19402.91,2022-10-11 10:40:00.000000,2022,10,11,1,4
102,Chevrolet,2023,15086,hybrid,manual,1.69,excellent,57871.83,2020-10-21 06:43:36.216216,2020,10,21,2,4
103,Honda,2021,253387,petrol,manual,5.0,poor,24132.88,2021-01-02 09:26:29.189189,2021,1,2,5,1
104,Hyundai,2012,12849,hybrid,manual,2.54,excellent,50777.55,2024-10-15 05:32:58.378378,2024,10,15,1,4
105,Toyota,2011,56293,petrol,manual,4.57,poor,21373.2,2024-12-23 16:31:42.702702,2024,12,23,0,4
106,Mercedes,2010,207518,hybrid,manual,4.16,poor,30033.51,2021-05-06 16:27:23.243243,2021,5,6,3,2
107,Chevrolet,2017,299516,hybrid,manual,3.69,poor,18409.32,2024-04-24 14:06:07.567567,2024,4,24,2,2
108,Mercedes,2005,97577,diesel,manual,2.39,good,31743.31,2024-01-29 16:18:44.324324,2024,1,29,0,1
109,Toyota,2023,138695,hybrid,manual,4.34,fair,43707.63,2021-05-08 12:19:27.567567,2021,5,8,5,2
110,Mercedes,2015,138706,hybrid,automatic,1.61,good,72575.67,2022-04-11 15:52:47.567567,2022,4,11,0,2
111,Kia,2015,168862,hybrid,manual,1.93,good,31595.74,2022-04-22 15:05:13.513513,2022,4,22,4,2
112,Bmw,2005,56629,electric,manual,4.88,poor,21944.03,2023-08-20 00:04:19.459459,2023,8,20,6,3
113,Kia,2020,25307,hybrid,manual,4.67,poor,31789.92,2021-04-03 18:50:05.405405,2021,4,3,5,2
114,Honda,2016,183514,hybrid,automatic,3.71,good,40052.74,2023-07-05 07:22:31.351351,2023,7,5,2,3
115,Hyundai,2016,79154,hybrid,automatic,3.57,excellent,46028.54,2021-06-23 05:01:15.675675,2021,6,23,2,2
116,Kia,2006,61312,petrol,manual,3.29,fair,17431.32,2023-08-16 08:20:10.810810,2023,8,16,2,3
117,Toyota,2012,64263,petrol,automatic,1.91,poor,18568.97,2023-08-07 04:59:49.189189,2023,8,7,0,3
118,Hyundai,2016,120602,diesel,automatic,3.82,excellent,53500.46,2023-09-29 05:09:54.594594,2023,9,29,4,3
119,Chevrolet,2024,22893,electric,manual,2.95,excellent,58936.33,2021-09-07 23:28:17.297297,2021,9,7,1,3
120,Toyota,2011,255647,diesel,manual,4.73,poor,17907.32,2024-05-23 19:59:16.756756,2024,5,23,3,2
121,Kia,2022,84818,hybrid,manual,4.69,fair,45560.62,2020-04-05 01:07:44.864864,2020,4,5,6,2
122,Mercedes,2015,76435,electric,manual,2.02,excellent,75000.0,2023-12-16 19:29:00.540540,2023,12,16,5,4
123,Chevrolet,2017,292425,diesel,manual,4.41,good,30785.84,2024-08-10 10:18:22.702702,2024,8,10,5,3
124,Toyota,2013,117427,petrol,manual,1.81,excellent,35465.63,2021-01-29 19:27:34.054054,2021,1,29,4,1
125,Hyundai,2017,263114,petrol,manual,2.5,fair,19978.53,2023-10-26 15:10:59.459459,2023,10,26,3,4
126,Hyundai,2005,166966,electric,manual,1.88,fair,19976.11,2020-12-07 19:17:28.648648,2020,12,7,0,4
127,Hyundai,2010,121560,electric,manual,1.91,excellent,34419.78,2021-11-23 17:55:18.918918,2021,11,23,1,4
128,Mercedes,2022,100540,electric,manual,3.47,poor,44811.33,2022-06-18 06:59:27.567567,2022,6,18,5,2
129,Hyundai,2015,42300,diesel,automatic,3.32,fair,37799.83,2020-03-14 02:42:52.972972,2020,3,14,5,1
130,Kia,2020,155021,hybrid,manual,1.64,excellent,42627.78,2020-10-12 03:23:14.594594,2020,10,12,0,4
131,Honda,2022,198803,petrol,automatic,2.37,excellent,45925.46,2020-01-26 14:09:00.540540,2020,1,26,6,1
132,Bmw,2017,25105,hybrid,automatic,1.66,good,75000.0,2024-01-24 04:42:31.351351,2024,1,24,2,1
133,Kia,2014,60467,electric,manual,1.34,good,42712.5,2020-04-26 23:32:36.756756,2020,4,26,6,2
134,Honda,2019,92192,diesel,manual,1.82,excellent,50486.41,2024-04-13 14:53:41.621621,2024,4,13,5,2
135,Chevrolet,2011,163188,hybrid,manual,2.57,good,27649.79,2024-03-11 17:16:23.783783,2024,3,11,0,1
136,Bmw,2007,200434,hybrid,automatic,4.06,fair,34700.21,2022-08-08 11:17:28.648648,2022,8,8,0,3
137,Toyota,2010,236552,hybrid,automatic,4.08,fair,27267.19,2021-09-18 22:40:43.243243,2021,9,18,5,3
138,Toyota,2021,29139,hybrid,automatic,3.98,excellent,75000.0,2020-08-21 23:05:13.513513,2020,8,21,4,3
139,Honda,2023,103977,petrol,automatic,2.33,fair,38822.6,2023-03-28 14:30:37.837837,2023,3,28,1,1
140,Kia,2011,28229,petrol,automatic,2.86,fair,24957.71,2022-05-10 21:45:56.756756,2022,5,10,1,2
141,Bmw,2005,194401,petrol,manual,2.17,poor,20827.35,2020-04-23 07:48:28.108108,2020,4,23,3,2
142,Hyundai,2022,84867,hybrid,manual,3.22,fair,40437.05,2020-09-09 05:45:56.756756,2020,9,9,2,3
143,Mercedes,2017,208000,electric,automatic,2.17,excellent,67631.81,2022-06-29 06:11:53.513513,2022,6,29,2,2
144,Bmw,2020,286539,electric,automatic,2.81,fair,39490.52,2022-12-18 01:46:39.999999,2022,12,18,6,4
145,Hyundai,2009,152415,electric,manual,2.21,poor,13990.02,2021-12-15 16:20:10.810810,2021,12,15,2,4
146,Hyundai,2007,196579,petrol,automatic,4.49,fair,22900.48,2023-05-16 22:56:34.594594,2023,5,16,1,2
147,Toyota,2020,65615,electric,automatic,3.31,fair,58478.06,2022-02-03 00:46:07.567567,2022,2,3,3,1
148,Chevrolet,2021,96899,electric,automatic,1.46,fair,35277.71,2021-06-10 09:56:45.405405,2021,6,10,3,2
149,Mercedes,2005,252894,electric,automatic,2.1,good,15270.71,2021-11-21 22:03:14.594594,2021,11,21,6,4
150,Kia,2010,130523,electric,manual,1.95,fair,30353.79,2023-11-12 01:59:38.378378,2023,11,12,6,4
151,Mercedes,2018,86622,electric,automatic,1.87,fair,47669.23,2022-06-12 19:23:14.594594,2022,6,12,6,2
152,Chevrolet,2016,27487,hybrid,automatic,3.1,fair,40486.24,2021-02-24 09:36:34.594594,2021,2,24,2,1
153,Honda,2012,76303,petrol,manual,4.92,poor,28153.51,2020-03-14 02:42:52.972972,2020,3,14,5,1
154,Mercedes,2005,187297,petrol,automatic,4.86,good,36966.93,2020-02-19 08:25:56.756756,2020,2,19,2,1
155,Hyundai,2015,60893,diesel,manual,3.69,good,49509.97,2020-09-01 22:17:39.459459,2020,9,1,1,3
156,Mercedes,2022,173339,petrol,manual,4.25,excellent,71194.01,2020-12-31 13:34:24.864864,2020,12,31,3,4
157,Honda,2005,268513,diesel,automatic,4.66,fair,20428.14,2024-03-13 13:08:28.108108,2024,3,13,2,1
158,Chevrolet,2008,136314,hybrid,manual,3.19,fair,17070.21,2023-11-24 21:04:08.648648,2023,11,24,4,4
159,Hyundai,2024,244990,electric,manual,1.71,poor,24612.35,2024-08-25 01:14:57.297297,2024,8,25,6,3
160,Toyota,2020,170912,petrol,manual,4.5,fair,31096.61,2020-02-28 11:46:18.378378,2020,2,28,4,1
161,Hyundai,2014,81539,petrol,automatic,3.94,excellent,40014.55,2020-03-26 21:47:23.243243,2020,3,26,3,1
162,Mercedes,2019,242062,electric,manual,2.29,poor,25242.52,2022-07-06 13:40:10.810810,2022,7,6,2,3
163,Chevrolet,2007,67400,hybrid,automatic,3.47,excellent,47766.54,2022-01-12 02:21:15.675675,2022,1,12,2,1
164,Honda,2007,260118,diesel,automatic,3.39,poor,14907.61,2022-11-13 08:17:17.837837,2022,11,13,6,4
165,Hyundai,2022,84714,diesel,automatic,2.41,fair,38734.38,2023-08-21 19:56:23.783783,2023,8,21,0,3
166,Honda,2019,172232,diesel,manual,4.94,poor,20531.86,2024-01-09 13:45:56.756756,2024,1,9,1,1
167,Bmw,2016,91085,petrol,manual,3.47,poor,27286.46,2020-06-28 03:03:03.783783,2020,6,28,6,2
168,Bmw,2017,106686,hybrid,automatic,1.76,excellent,75000.0,2023-06-02 09:45:13.513513,2023,6,2,4,2
169,Honda,2017,180066,hybrid,automatic,1.66,good,50285.86,2024-05-11 00:54:46.486486,2024,5,11,5,2
170,Honda,2020,500000,petrol,automatic,2.26,poor,22008.25,2023-08-18 04:12:15.135135,2023,8,18,4,3
171,Kia,2021,208464,petrol,manual,3.56,excellent,43846.41,2024-12-07 05:43:03.783783,2024,12,7,5,4
172,Mercedes,2007,176877,electric,manual,3.77,fair,23319.19,2022-09-24 23:51:21.081081,2022,9,24,5,3
173,Mercedes,2024,173746,hybrid,automatic,2.17,excellent,75000.0,2024-10-20 17:09:11.351351,2024,10,20,6,4
174,Bmw,2015,31427,diesel,automatic,4.72,excellent,67350.32,2023-09-10 22:29:11.351351,2023,9,10,6,3
175,Toyota,2013,247826,hybrid,manual,3.44,poor,23069.0,2023-01-23 15:08:06.486486,2023,1,23,0,1
176,Honda,2017,196268,petrol,manual,2.76,poor,17911.87,2024-09-17 19:31:53.513513,2024,9,17,1,3
177,Hyundai,2023,22106,hybrid,manual,4.04,excellent,65320.17,2022-04-22 15:05:13.513513,2022,4,22,4,2
178,Honda,2006,194312,hybrid,manual,4.17,excellent,41664.99,2023-03-19 11:10:16.216216,2023,3,19,6,1
179,Bmw,2008,50643,petrol,manual,4.19,poor,27517.23,2023-11-04 18:31:21.081081,2023,11,4,5,4
180,Bmw,2007,157552,petrol,manual,3.19,fair,33926.68,2020-01-08 07:28:17.297297,2020,1,8,2,1
181,Bmw,2006,76942,petrol,manual,4.2,fair,30948.57,2021-01-31 15:19:38.378378,2021,1,31,6,1
182,Honda,2024,178773,diesel,manual,4.86,fair,44909.92,2022-07-06 13:40:10.810810,2022,7,6,2,3
183,Chevrolet,2011,262089,hybrid,manual,3.87,good,21556.06,2023-11-01 02:47:12.432432,2023,11,1,2,4
184,Honda,2011,72321,electric,automatic,4.23,excellent,71149.57,2021-12-26 15:32:36.756756,2021,12,26,6,4
185,Bmw,2020,114161,electric,automatic,4.61,fair,65588.87,2024-05-09 05:02:42.162162,2024,5,9,3,2
186,Toyota,2021,115816,petrol,automatic,4.48,excellent,68504.31,2023-12-22 07:05:13.513513,2023,12,22,4,4
187,Kia,2018,56113,diesel,manual,1.83,fair,26671.91,2021-12-17 12:12:15.135135,2021,12,17,4,4
188,Honda,2020,137644,petrol,manual,4.47,excellent,66728.84,2021-01-11 12:46:50.810810,2021,1,11,0,1
189,Chevrolet,2006,133264,hybrid,automatic,1.2,poor,15482.73,2020-01-26 14:09:00.540540,2020,1,26,6,1
190,Honda,2009,238627,electric,automatic,1.08,poor,9866.58,2024-04-15 10:45:45.945945,2024,4,15,0,2
191,Honda,2016,162811,hybrid,manual,3.55,poor,24546.59,2022-10-07 18:55:51.351351,2022,10,7,4,4
192,Toyota,2013,201923,petrol,manual,1.93,excellent,40553.22,2024-06-16 14:16:12.972972,2024,6,16,6,2
193,Kia,2006,158186,electric,automatic,3.35,good,32388.72,2022-04-20 19:13:09.189189,2022,4,20,2,2
194,Toyota,2006,250068,diesel,automatic,1.75,fair,13396.37,2023-06-15 04:49:43.783783,2023,6,15,3,2
195,Bmw,2016,152874,diesel,automatic,4.17,fair,48920.66,2022-11-15 04:09:22.162162,2022,11,15,1,4
196,Toyota,2015,80322,petrol,automatic,3.73,poor,28729.66,2024-04-26 09:58:11.891891,2024,4,26,4,2
197,Bmw,2013,282583,electric,automatic,1.95,fair,37230.04,2023-09-18 05:57:28.648648,2023,9,18,0,3
198,Hyundai,2017,268640,hybrid,automatic,2.63,good,26990.72,2021-03-14 16:17:17.837837,2021,3,14,6,1
199,Chevrolet,2017,186361,petrol,manual,3.86,good,34410.77,2022-10-26 01:36:34.594594,2022,10,26,2,4
200,Mercedes,2020,9763,petrol,automatic,4.16,fair,54206.33,2020-06-22 15:26:50.810810,2020,6,22,0,2
201,Hyundai,2024,114029,petrol,automatic,4.46,fair,35474.87,2024-07-01 05:12:47.567567,2024,7,1,0,3
202,Mercedes,2020,234275,petrol,automatic,3.77,poor,29905.66,2023-09-01 19:08:49.729729,2023,9,1,4,3
203,Kia,2015,58195,diesel,manual,3.67,excellent,56227.16,2022-06-03 16:02:52.972972,2022,6,3,4,2
204,Kia,2014,213294,petrol,manual,4.69,good,26017.09,2022-01-12 02:21:15.675675,2022,1,12,2,1
205,Bmw,2006,119363,electric,manual,4.25,fair,38218.97,2021-02-24 09:36:34.594594,2021,2,24,2,1
206,Kia,2010,184026,electric,manual,4.57,poor,18946.2,2023-09-29 05:09:54.594594,2023,9,29,4,3
207,Hyundai,2012,210369,diesel,automatic,1.24,good,26706.02,2023-04-10 09:35:08.108108,2023,4,10,0,2
208,Kia,2010,178401,electric,automatic,4.02,excellent,48550.41,2020-11-06 17:32:15.135135,2020,11,6,4,4
209,Bmw,2014,55223,hybrid,automatic,2.24,poor,31910.86,2022-09-14 00:38:55.135135,2022,9,14,2,3
210,Bmw,2021,142527,petrol,automatic,1.33,good,67859.85,2020-03-04 23:22:31.351351,2020,3,4,2,1
211,Hyundai,2006,86217,hybrid,manual,3.39,fair,20505.21,2022-08-15 18:45:45.945945,2022,8,15,0,3
212,Kia,2024,162782,hybrid,manual,2.83,excellent,46493.0,2020-10-17 14:59:27.567567,2020,10,17,5,4
213,Chevrolet,2005,15775,diesel,manual,2.4,fair,23125.49,2024-03-11 17:16:23.783783,2024,3,11,0,1
214,Chevrolet,2012,150866,diesel,manual,3.63,good,27570.85,2023-06-29 19:46:18.378378,2023,6,29,3,2
215,Chevrolet,2019,147268,hybrid,manual,1.55,poor,19494.65,2021-03-18 08:01:26.486486,2021,3,18,3,1
216,Hyundai,2024,22625,electric,automatic,2.02,fair,42713.09,2020-06-04 08:46:07.567567,2020,6,4,3,2
217,Bmw,2012,136541,petrol,automatic,3.78,good,49661.23,2023-12-24 02:57:17.837837,2023,12,24,6,4
218,Bmw,2018,243521,petrol,manual,4.38,fair,29590.52,2022-11-20 15:45:35.135135,2022,11,20,6,4
219,Toyota,2019,280476,petrol,automatic,4.68,fair,29545.07,2023-05-29 18:01:04.864864,2023,5,29,0,2
220,Bmw,2023,244098,hybrid,automatic,2.09,fair,47171.0,2022-10-13 06:32:04.324324,2022,10,13,3,4
221,Mercedes,2006,86278,diesel,automatic,4.84,good,55548.84,2022-11-13 08:17:17.837837,2022,11,13,6,4
222,Bmw,2012,98309,petrol,automatic,4.55,good,55136.45,2024-10-06 02:12:36.756756,2024,10,6,6,4
223,Honda,2024,228409,diesel,manual,3.55,good,44121.22,2023-03-24 22:46:29.189189,2023,3,24,4,1
224,Chevrolet,2019,45508,diesel,automatic,4.91,poor,24302.97,2023-12-24 02:57:17.837837,2023,12,24,6,4
225,Kia,2008,255915,petrol,automatic,4.95,excellent,20144.46,2020-02-19 08:25:56.756756,2020,2,19,2,1
226,Kia,2020,201875,hybrid,manual,1.95,fair,34194.85,2023-02-05 10:12:36.756756,2023,2,5,6,1
227,Mercedes,2007,38451,diesel,automatic,3.01,poor,24361.1,2022-10-11 10:40:00.000000,2022,10,11,1,4
228,Toyota,2009,190256,hybrid,manual,4.06,good,43320.97,2021-09-11 15:12:25.945945,2021,9,11,5,3
229,Mercedes,2010,19517,hybrid,automatic,4.11,good,70738.25,2023-12-27 18:41:26.486486,2023,12,27,2,4
230,Honda,2006,89509,electric,manual,2.26,fair,28508.1,2024-10-15 05:32:58.378378,2024,10,15,1,4
231,Bmw,2005,147395,petrol,automatic,2.26,poor,13777.98,2021-08-26 04:23:47.027027,2021,8,26,3,3
